year,epi_week,total_casos,total_fallecidos,total_dosis_1,total_dosis_2,total_dosis_3,0_17_fal,18_29_fal,30_39_fal,40_49_fal,50_59_fal,60_69_fal,70_79_fal,80_more_fal,0_17_vac,18_29_vac,30_39_vac,40_49_vac,50_59_vac,60_69_vac,70_79_vac,80_more_vac,AMAZONAS_fal,ANCASH_fal,APURIMAC_fal,AREQUIPA_fal,AYACUCHO_fal,CAJAMARCA_fal,CALLAO_fal,CUSCO_fal,HUANCAVELICA_fal,HUANUCO_fal,ICA_fal,JUNIN_fal,LA LIBERTAD_fal,LAMBAYEQUE_fal,LIMA_fal,LORETO_fal,MADRE DE DIOS_fal,MOQUEGUA_fal,PASCO_fal,PIURA_fal,PUNO_fal,SAN MARTIN_fal,TACNA_fal,TUMBES_fal,UCAYALI_fal,AMAZONAS_vac,ANCASH_vac,APURIMAC_vac,AREQUIPA_vac,AYACUCHO_vac,CAJAMARCA_vac,CALLAO_vac,CUSCO_vac,HUANCAVELICA_vac,HUANUCO_vac,ICA_vac,JUNIN_vac,LA LIBERTAD_vac,LAMBAYEQUE_vac,LIMA_vac,LORETO_vac,MADRE DE DIOS_vac,MOQUEGUA_vac,PASCO_vac,PIURA_vac,PUNO_vac,SAN MARTIN_vac,TACNA_vac,TUMBES_vac,UCAYALI_vac
2020,10,6,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,11,51,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,279,36,0,0,0,0,2,3,6,6,5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,5,20,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,13,458,64,0,0,0,5,3,4,6,8,12,16,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,3,0,0,3,0,2,5,32,6,1,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,14,1993,226,0,0,0,3,5,13,12,47,47,51,48,0,0,0,0,0,0,0,0,0,0,0,15,0,2,15,2,0,0,11,2,5,19,119,9,0,0,0,9,0,3,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,15,6497,536,0,0,0,10,13,13,45,98,127,107,123,0,0,0,0,0,0,0,0,1,9,1,8,1,4,42,2,1,3,14,9,9,65,304,19,0,0,1,25,1,1,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,16,8401,952,0,0,0,11,18,37,96,164,231,198,197,0,0,0,0,0,0,0,0,0,24,0,7,2,4,75,0,0,0,30,11,18,117,535,35,0,0,1,66,1,1,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,17,14242,1731,0,0,0,8,32,64,135,295,492,420,285,0,0,0,0,0,0,0,0,0,47,3,13,3,4,142,2,2,0,35,11,21,190,849,178,1,1,1,128,2,5,1,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,18,21910,2518,1,0,0,14,31,75,185,464,687,617,445,0,0,0,0,0,0,0,0,2,66,0,14,1,6,151,1,2,4,52,13,44,245,1159,351,0,1,5,221,3,4,1,6,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,19,22986,3285,0,0,0,24,25,96,263,528,921,818,610,0,0,0,0,0,0,0,0,7,102,1,18,7,4,218,2,2,11,69,27,49,261,1403,552,2,1,3,353,5,9,2,19,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,20,25551,3535,0,0,0,23,20,87,272,597,979,902,655,0,0,0,0,0,0,0,0,12,96,0,18,7,5,291,5,2,4,76,30,57,263,1661,376,2,2,1,431,2,14,2,29,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,21,34520,3794,0,0,0,24,48,96,306,628,1045,933,714,0,0,0,0,0,0,0,0,9,110,0,22,7,9,349,3,2,22,94,32,81,235,1874,243,4,3,7,487,1,13,3,46,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,22,40143,4076,0,0,0,12,43,124,345,669,1064,1044,775,0,0,0,0,0,0,0,0,6,148,3,50,9,9,331,4,4,18,144,40,148,231,2141,161,1,3,3,472,3,21,4,59,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,23,27194,4134,0,0,0,26,42,130,342,759,1067,1037,731,0,0,0,0,0,0,0,0,14,150,4,65,9,11,360,5,4,17,196,25,265,185,2093,122,16,1,5,375,4,65,3,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,24,36315,4198,0,0,0,21,43,142,339,735,1094,1023,801,0,0,0,0,0,0,0,0,11,161,4,99,19,20,281,6,2,29,208,37,324,164,2106,118,27,4,4,332,7,109,3,57,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,25,25285,4175,0,0,0,23,53,141,302,692,1102,1055,807,0,0,0,0,0,0,0,0,20,140,6,137,16,19,278,10,1,42,203,58,356,181,2003,89,36,5,8,289,11,163,5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,26,26612,3743,0,0,0,19,46,125,290,637,988,906,732,0,0,0,0,0,0,0,0,36,112,6,162,13,40,191,5,3,41,182,68,364,125,1757,72,40,7,5,234,14,166,10,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,27,23670,3759,0,0,0,33,41,117,304,600,963,962,739,0,0,0,0,0,0,0,0,46,131,6,248,16,76,168,16,5,57,197,105,357,116,1675,50,42,18,7,204,16,130,6,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,28,25743,3949,0,0,0,31,46,104,319,669,974,999,807,0,0,0,0,0,0,0,0,45,139,5,292,21,103,186,22,19,64,221,164,344,112,1730,55,45,30,14,145,17,107,11,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,29,30410,4183,0,0,0,13,49,119,341,735,1090,1023,813,0,0,0,0,0,0,0,0,49,135,3,356,40,140,201,34,17,81,215,186,302,121,1766,43,46,36,21,156,31,106,26,28,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,30,36350,4264,0,0,0,19,47,116,326,741,1122,1027,866,0,0,0,0,0,0,0,0,51,145,10,388,57,163,196,69,24,66,179,175,287,125,1768,37,22,90,15,127,66,92,50,22,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,31,43422,4402,0,0,0,21,55,125,315,737,1210,1060,879,0,0,0,0,0,0,0,0,30,130,11,394,57,139,173,152,22,51,187,202,244,111,1840,36,24,109,12,127,125,83,75,19,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,32,52027,4445,0,0,0,19,54,126,382,783,1160,1034,887,0,0,0,0,0,0,0,0,31,117,19,337,61,126,203,173,35,75,189,184,192,125,1849,47,26,136,20,134,155,64,97,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,33,61086,4321,0,0,0,32,55,135,326,743,1150,1028,852,0,0,0,0,0,0,0,0,21,102,22,291,94,95,168,174,48,64,154,151,194,123,1843,24,20,109,20,176,214,58,113,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,34,59941,3796,0,0,0,19,59,114,283,599,965,1001,756,0,0,0,0,0,0,0,0,14,96,20,245,71,88,146,204,36,46,154,110,142,118,1662,25,15,72,18,144,199,48,75,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
